"","DateTime","TEMP","SiteID","Latitude","Longitude","LocalDateTime","time.str","y","mo","day","hour","minute","second","minutes.day","""SiteID""","temp_0.5h","temp_1h","temp_2h","minutes.dayROUND","mean_tempROUND","mean_temp","min_temp","max_temp","var_temp","sd_temp","range_temp","meanMEAN","meanMAX","meanMIN"
"1",2021-07-06 12:17:00,24,"TestSite",34.400334,-119.535058,2021-07-06 12:17:00,"12:17:00",2021,7,6,12,17,0,737,"SiteID",23.6233333333329,23.8566666666663,24.7449999999998,"740",19.9261666666667,22.2491549295775,19.89,26.53,5.36991641851107,2.31730801114376,6.64,20.2,24.5,17.7
"2",2021-07-06 12:27:00,22.76,"TestSite",34.400334,-119.535058,2021-07-06 12:27:00,"12:27:00",2021,7,6,12,27,0,747,"SiteID",23.1999999999995,23.323333333333,24.3308333333332,"750",20.0949166666667,22.2491549295775,19.89,26.53,5.36991641851107,2.31730801114376,6.64,20.2,24.5,17.7
"3",2021-07-06 12:37:00,22.84,"TestSite",34.400334,-119.535058,2021-07-06 12:37:00,"12:37:00",2021,7,6,12,37,0,757,"SiteID",22.8699999999995,23.238333333333,24.0424999999998,"760",21.3138461538462,22.2491549295775,19.89,26.53,5.36991641851107,2.31730801114376,6.64,20.2,24.5,17.7
"4",2021-07-06 12:47:00,23.01,"TestSite",34.400334,-119.535058,2021-07-06 12:47:00,"12:47:00",2021,7,6,12,47,0,767,"SiteID",23.0233333333329,23.183333333333,23.8366666666665,"770",20.397,22.2491549295775,19.89,26.53,5.36991641851107,2.31730801114376,6.64,20.2,24.5,17.7
"5",2021-07-06 12:57:00,23.22,"TestSite",34.400334,-119.535058,2021-07-06 12:57:00,"12:57:00",2021,7,6,12,57,0,777,"SiteID",23.2766666666662,23.3799999999997,23.6774999999998,"780",20.5881666666667,22.2491549295775,19.89,26.53,5.36991641851107,2.31730801114376,6.64,20.2,24.5,17.7
"6",2021-07-06 13:07:00,23.6,"TestSite",34.400334,-119.535058,2021-07-06 13:07:00,"13:07:00",2021,7,6,13,7,0,787,"SiteID",23.4966666666662,23.6016666666663,23.7283333333332,"790",21.8551282051282,22.2491549295775,19.89,26.53,5.36991641851107,2.31730801114376,6.64,20.2,24.5,17.7
"7",2021-07-06 13:17:00,23.67,"TestSite",34.400334,-119.535058,2021-07-06 13:17:00,"13:17:00",2021,7,6,13,17,0,797,"SiteID",23.7366666666662,23.8166666666663,23.8033333333332,"800",20.9149166666667,22.2491549295775,19.89,26.53,5.36991641851107,2.31730801114376,6.64,20.2,24.5,17.7
"8",2021-07-06 13:27:00,23.94,"TestSite",34.400334,-119.535058,2021-07-06 13:27:00,"13:27:00",2021,7,6,13,27,0,807,"SiteID",23.9266666666662,24.0316666666663,24.0083333333332,"810",21.12825,22.2491549295775,19.89,26.53,5.36991641851107,2.31730801114376,6.64,20.2,24.5,17.7
"9",2021-07-06 13:37:00,24.17,"TestSite",34.400334,-119.535058,2021-07-06 13:37:00,"13:37:00",2021,7,6,13,37,0,817,"SiteID",24.1366666666662,24.218333333333,24.2283333333332,"820",22.4292307692308,22.2491549295775,19.89,26.53,5.36991641851107,2.31730801114376,6.64,20.2,24.5,17.7
"10",2021-07-06 13:47:00,24.3,"TestSite",34.400334,-119.535058,2021-07-06 13:47:00,"13:47:00",2021,7,6,13,47,0,827,"SiteID",24.3266666666662,24.423333333333,24.4299999999998,"830",21.43225,22.2491549295775,19.89,26.53,5.36991641851107,2.31730801114376,6.64,20.2,24.5,17.7
