Date,Date,TimeDay,TestID,TestID2,TL_mm,mass_mg,Order_fish_flip,tank,temp_tolerance,Test,Tide,Tide2,Phys.cond,treatment,temp_treatment,Field_Lab,Temp_test_start,max.Env.Temp,min.Env.Temp,mean.Env.Temp,delta.T,Stat_Var
11/12/19,12-Nov,17:30:00,lab2,LAB-V1,41,314,1,4,9.8,CTmin,NA,NA,NOTFED,V1,V1,LAB,26.7,28,16,22,12,variable
11/12/19,12-Nov,17:30:00,lab2,LAB-27,37,278,2,1,7.25,CTmin,NA,NA,NOTFED,HOT,27,LAB,26.7,28,26,27,2,static
11/12/19,12-Nov,17:30:00,lab2,LAB-27,37,284,3,1,7.19,CTmin,NA,NA,NOTFED,HOT,27,LAB,26.7,28,26,27,2,static
11/12/19,12-Nov,17:30:00,lab2,LAB-27,36,253,4,1,6.99,CTmin,NA,NA,NOTFED,HOT,27,LAB,26.7,28,26,27,2,static
11/12/19,12-Nov,17:30:00,lab2,LAB-27,38,290,5,16,6.77,CTmin,NA,NA,NOTFED,HOT,27,LAB,26.7,28,26,27,2,static
11/12/19,12-Nov,17:30:00,lab2,LAB-27,33,191,6,16,6.72,CTmin,NA,NA,NOTFED,HOT,27,LAB,26.7,28,26,27,2,static
11/12/19,12-Nov,17:30:00,lab2,LAB-27,40,356,7,1,6.64,CTmin,NA,NA,NOTFED,HOT,27,LAB,26.7,28,26,27,2,static
11/12/19,12-Nov,17:30:00,lab2,LAB-27,36,235,8,16,6.61,CTmin,NA,NA,NOTFED,HOT,27,LAB,26.7,28,26,27,2,static
11/12/19,12-Nov,17:30:00,lab2,LAB-27,35,197,9,16,6.52,CTmin,NA,NA,NOTFED,HOT,27,LAB,26.7,28,26,27,2,static
11/12/19,12-Nov,17:30:00,lab2,LAB-V1,38,329,10,2,6.23,CTmin,NA,NA,NOTFED,V1,V1,LAB,26.7,28,16,22,12,variable
11/12/19,12-Nov,17:30:00,lab2,LAB-27,32,175,11,1,6.22,CTmin,NA,NA,NOTFED,HOT,27,LAB,26.7,28,26,27,2,static
11/12/19,12-Nov,17:30:00,lab2,LAB-27,27,99,12,10,6.1,CTmin,NA,NA,NOTFED,HOT,27,LAB,26.7,28,26,27,2,static
11/12/19,12-Nov,17:30:00,lab2,LAB-V1,36,249,13,2,6.07,CTmin,NA,NA,NOTFED,V1,V1,LAB,26.7,28,16,22,12,variable
11/12/19,12-Nov,17:30:00,lab2,LAB-27,34,166,14,16,5.99,CTmin,NA,NA,NOTFED,HOT,27,LAB,26.7,28,26,27,2,static
11/12/19,12-Nov,17:30:00,lab2,LAB-V1,23,193,15,2,5.81,CTmin,NA,NA,NOTFED,V1,V1,LAB,26.7,28,16,22,12,variable
11/12/19,12-Nov,17:30:00,lab2,LAB-27,27,107,16,10,5.77,CTmin,NA,NA,NOTFED,HOT,27,LAB,26.7,28,26,27,2,static
11/12/19,12-Nov,17:30:00,lab2,LAB-V1,38,235,17,4,5.75,CTmin,NA,NA,NOTFED,V1,V1,LAB,26.7,28,16,22,12,variable
11/12/19,12-Nov,17:30:00,lab2,LAB-V1,35,202,18,4,5.55,CTmin,NA,NA,NOTFED,V1,V1,LAB,26.7,28,16,22,12,variable
11/12/19,12-Nov,17:30:00,lab2,LAB-V1,39,243,19,2,5.41,CTmin,NA,NA,NOTFED,V1,V1,LAB,26.7,28,16,22,12,variable
11/12/19,12-Nov,17:30:00,lab2,LAB-V1,40,286,20,4,5.27,CTmin,NA,NA,NOTFED,V1,V1,LAB,26.7,28,16,22,12,variable
11/12/19,12-Nov,17:30:00,lab2,LAB-V1,42,429,21,4,5.21,CTmin,NA,NA,NOTFED,V1,V1,LAB,26.7,28,16,22,12,variable
11/12/19,12-Nov,17:30:00,lab2,LAB-V1,39,264,22,2,5.11,CTmin,NA,NA,NOTFED,V1,V1,LAB,26.7,28,16,22,12,variable
11/13/19,13-Nov,7:30:00,lab3,LAB-V2,42,306,1,12,31.14,CTmax,NA,NA,NOTFED,V2,V2,LAB,22.8,33,11,22,22,variable
